variant_key,variant_label,model_dir,checkpoint,step,max_step,observed_max_step,epoch_progress,NDCG@10,HR@10,NDCG@50,HR@50,NDCG@5,HR@5,peak_hr50_checkpoint,peak_hr50_epoch,peak_hr50
rule_only,RL rule-only,Games-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft896,checkpoint-8752,8752,8752,8752,2.0,0.0467,0.0825,0.0683,0.1815,0.0377,0.0544,checkpoint-4380,1.0009140767824498,0.1851
dynamic_hint,RL dynamic-hint,Games-grec-grpo-rule-only-dynamic-hint-cascade-qwen2.5-3b-qwen4B-4-256-from-sft896,checkpoint-4380,4380,8752,8752,1.0009140767824498,0.0464,0.0823,0.0716,0.198,0.0374,0.0543,checkpoint-3504,0.8007312614259597,0.1981
fixed_hint,RL fixed-hint,Games-grec-grpo-rule-only-fixedhint-taskfix-b16-sft896,checkpoint-8752,8752,8752,8752,2.0,0.048,0.0857,0.0723,0.1972,0.0383,0.0555,checkpoint-3504,0.8007312614259597,0.2024
