variant_key,variant_label,short,family,color,checkpoint,step,max_step,epoch_progress,NDCG@10,HR@10,NDCG@50,HR@50,NDCG@20,HR@20
fixed_taskfix_sid_only,Fixed hint taskfix sid-only,fixed_sid,fixed,#4CB5D8,checkpoint-2652,2652,2652,2.0,0.0945,0.1205,0.1103,0.1935,0.1008,0.1456
fixed_old_mixed_single,Old fixed hint mixed-single,fixed_old,fixed,#E76FB3,checkpoint-333,333,3326,0.20024052916416116,0.086,0.1103,0.1014,0.1817,0.0921,0.1344
fixed_old_mixed_single,Old fixed hint mixed-single,fixed_old,fixed,#E76FB3,checkpoint-666,666,3326,0.4004810583283223,0.0902,0.1133,0.1063,0.1888,0.0961,0.1367
fixed_old_mixed_single,Old fixed hint mixed-single,fixed_old,fixed,#E76FB3,checkpoint-999,999,3326,0.6007215874924835,0.0917,0.1148,0.1081,0.1912,0.0981,0.1403
fixed_old_mixed_single,Old fixed hint mixed-single,fixed_old,fixed,#E76FB3,checkpoint-1332,1332,3326,0.8009621166566446,0.0939,0.1182,0.1095,0.1904,0.1002,0.1432
fixed_old_mixed_single,Old fixed hint mixed-single,fixed_old,fixed,#E76FB3,checkpoint-1665,1665,3326,1.0012026458208059,0.0943,0.1175,0.1108,0.1941,0.101,0.1444
fixed_old_mixed_single,Old fixed hint mixed-single,fixed_old,fixed,#E76FB3,checkpoint-1998,1998,3326,1.201443174984967,0.0947,0.1184,0.1111,0.1943,0.1013,0.1448
fixed_old_mixed_single,Old fixed hint mixed-single,fixed_old,fixed,#E76FB3,checkpoint-2331,2331,3326,1.4016837041491281,0.0947,0.1197,0.1111,0.1957,0.1011,0.145
fixed_old_mixed_single,Old fixed hint mixed-single,fixed_old,fixed,#E76FB3,checkpoint-2664,2664,3326,1.6019242333132893,0.0951,0.1196,0.1114,0.1952,0.1015,0.145
fixed_old_mixed_single,Old fixed hint mixed-single,fixed_old,fixed,#E76FB3,checkpoint-2997,2997,3326,1.8021647624774504,0.0952,0.1193,0.1117,0.1956,0.1018,0.1457
fixed_old_mixed_single,Old fixed hint mixed-single,fixed_old,fixed,#E76FB3,checkpoint-3326,3326,3326,2.0,0.0953,0.1193,0.1114,0.1938,0.1018,0.1455
