loss,grad_norm,learning_rate,num_tokens,completions/mean_length,completions/min_length,completions/max_length,completions/clipped_ratio,completions/mean_terminated_length,completions/min_terminated_length,completions/max_terminated_length,rewards/rule_reward/mean,rewards/rule_reward/std,reward,reward_std,frac_reward_zero_std,kl,entropy,clip_ratio/low_mean,clip_ratio/low_min,clip_ratio/high_mean,clip_ratio/high_max,clip_ratio/region_mean,hint_ce/loss,hint_ce/token_count,epoch,global_step,hint_ce_loss_coef,grad_acc,weighted_hint_ce_loss,estimated_rl_base_loss,hint_ce_fraction,rl_base_fraction
0.0038,1.9404447078704834,0.0,110240.0,3.984375,3.0,5.0,0.0,3.984375,3.0,5.0,0.1572265625,0.36419209837913513,0.1572265625,0.29231056571006775,0.03125,0.0,0.8759950399398804,0.0,0.0,0.0,0.0,0.0,3.8014090061187744,260.0,0.0,1,0.001,4,0.0009503522515296937,0.0028496477484703064,0.25009269777097204,0.749907302229028
0.0034,2.038543224334717,1.0000000000000001e-07,231392.0,3.953125,2.0,5.0,0.0,3.953125,2.0,5.0,0.20703125,0.4053761065006256,0.20703125,0.27588146924972534,0.09375,0.0,0.994124710559845,0.0,0.0,0.0,0.0,0.0,3.3904483914375305,268.0,0.0,2,0.001,4,0.0008476120978593827,0.002552387902140617,0.2492976758409949,0.7507023241590051
0.0035,1.9215162992477417,2.0000000000000002e-07,344816.0,3.921875,3.0,5.0,0.0,3.921875,3.0,5.0,0.21484375,0.4109145998954773,0.21484375,0.2750817835330963,0.09375,6.332808834486059e-05,0.9157753437757492,0.0,0.0,0.0,0.0,0.0,3.497009038925171,276.0,0.0,3,0.001,4,0.0008742522597312927,0.0026257477402687073,0.24978635992322648,0.7502136400767735
0.0036,1.9218432903289795,3.0000000000000004e-07,456560.0,3.921875,3.0,5.0,0.0,3.921875,3.0,5.0,0.1806640625,0.3849276006221771,0.1806640625,0.26783227920532227,0.078125,0.00011513700337673072,0.8325759172439575,0.0,0.0,0.0,0.0,0.0,3.6013986468315125,276.0,0.0,4,0.001,4,0.0009003496617078781,0.002699650338292122,0.2500971282521884,0.7499028717478117
0.0038,2.1938209533691406,4.0000000000000003e-07,560912.0,3.984375,3.0,5.0,0.0,3.984375,3.0,5.0,0.15625,0.3632695972919464,0.15625,0.2693820893764496,0.0625,3.891308915626723e-05,0.9519814103841782,0.0,0.0,0.0,0.0,0.0,3.7502435445785522,260.0,0.0,5,0.001,4,0.0009375608861446381,0.002862439113855362,0.24672654898543106,0.7532734510145689
0.0036,1.805178165435791,5.000000000000001e-07,664384.0,3.78125,2.0,5.0,0.0,3.78125,2.0,5.0,0.1982421875,0.39887040853500366,0.1982421875,0.2841757833957672,0.078125,6.108294951445714e-05,0.8603989034891129,0.0,0.0,0.0,0.0,0.0,3.5888158679008484,312.0,0.0,6,0.001,4,0.0008972039669752121,0.0027027960330247877,0.24922332415978116,0.7507766758402188
0.0034,1.6559178829193115,6.000000000000001e-07,782384.0,4.03125,2.0,5.0,0.0,4.03125,2.0,5.0,0.177734375,0.3824757933616638,0.177734375,0.24890261888504028,0.125,5.0840978474298026e-05,1.024188369512558,0.0,0.0,0.0,0.0,0.0,3.436810612678528,248.0,0.0,7,0.001,4,0.000859202653169632,0.002540797346830368,0.2527066626969506,0.7472933373030494
0.0035,1.742707371711731,7.000000000000001e-07,899728.0,3.921875,3.0,5.0,0.0,3.921875,3.0,5.0,0.1259765625,0.33198508620262146,0.1259765625,0.2721041440963745,0.046875,6.696975469822064e-05,0.9937372654676437,0.0,0.0,0.0,0.0,0.0,3.50132954120636,276.0,0.0,8,0.001,4,0.0008753323853015899,0.00262466761469841,0.2500949672290257,0.7499050327709743
0.0037,1.5871378183364868,8.000000000000001e-07,1000848.0,4.171875,3.0,5.0,0.0,4.171875,3.0,5.0,0.134765625,0.341639906167984,0.134765625,0.2737445831298828,0.046875,7.128071047191042e-05,0.9593625366687775,0.0,0.0,0.0,0.0,0.0,3.73044216632843,212.0,0.01,9,0.001,4,0.0009326105415821076,0.0027673894584178925,0.2520569031302993,0.7479430968697006
0.0036,1.474900484085083,9.000000000000001e-07,1115264.0,4.125,3.0,5.0,0.0,4.125,3.0,5.0,0.16015625,0.36693012714385986,0.16015625,0.2660311460494995,0.0625,4.2985128402506234e-05,1.055656760931015,0.0,0.0,0.0,0.0,0.0,3.5645819902420044,224.0,0.01,10,0.001,4,0.0008911454975605011,0.002708854502439499,0.2475404159890281,0.752459584010972
0.0032,1.6429176330566406,1.0000000000000002e-06,1249296.0,3.796875,3.0,5.0,0.0,3.796875,3.0,5.0,0.1591796875,0.3660223186016083,0.1591796875,0.27127933502197266,0.0625,0.00011751010424632113,1.0383960902690887,0.0,0.0,0.0,0.0,0.0,3.1871691942214966,308.0,0.01,11,0.001,4,0.0007967922985553742,0.002403207701444626,0.24899759329855442,0.7510024067014456
0.0034,1.4203076362609863,1.1e-06,1373312.0,4.0625,3.0,5.0,0.0,4.0625,3.0,5.0,0.166015625,0.3722764849662781,0.166015625,0.254934698343277,0.09375,8.537936628272291e-05,1.006599485874176,0.0,0.0,0.0,0.0,0.0,3.4447317123413086,240.0,0.01,12,0.001,4,0.0008611829280853272,0.0025388170719146726,0.2532890964956845,0.7467109035043156
0.0037,1.6176913976669312,1.2000000000000002e-06,1483952.0,3.9375,3.0,5.0,0.0,3.9375,3.0,5.0,0.138671875,0.3457726836204529,0.138671875,0.2851948142051697,0.046875,6.966675846342696e-05,0.87470643222332,0.0,0.0,0.0,0.0,0.0,3.652618944644928,272.0,0.01,13,0.001,4,0.000913154736161232,0.002786845263838768,0.24679857734087352,0.7532014226591265
0.0033,1.929313063621521,1.3e-06,1603280.0,3.875,3.0,5.0,0.0,3.875,3.0,5.0,0.15234375,0.3595293462276459,0.15234375,0.29285958409309387,0.03125,9.481327833782416e-05,0.8539925366640091,0.0,0.0,0.0,0.0,0.0,3.3340582251548767,288.0,0.01,14,0.001,4,0.0008335145562887192,0.002466485443711281,0.25258016857233917,0.7474198314276609
0.0034,2.0059547424316406,1.4000000000000001e-06,1731520.0,3.796875,2.0,5.0,0.0,3.796875,2.0,5.0,0.208984375,0.4067818820476532,0.208984375,0.2752126157283783,0.09375,0.00011011049809894757,0.950216218829155,0.0,0.0,0.0,0.0,0.0,3.403790533542633,308.0,0.01,15,0.001,4,0.0008509476333856583,0.0025490523666143418,0.2502787157016642,0.7497212842983358
0.0034,9.271360397338867,1.5e-06,1838544.0,4.1875,3.0,5.0,0.0,4.1875,3.0,5.0,0.1103515625,0.31348055601119995,0.1103515625,0.2746334671974182,0.015625,9.988829151552636e-05,0.9551969617605209,0.0,0.0,0.0,0.0,0.0,3.39309960603714,208.0,0.01,16,0.001,4,0.000848274901509285,0.002551725098490715,0.24949261809096618,0.7505073819090339
0.0035,1.889758825302124,1.6000000000000001e-06,1952560.0,3.859375,3.0,5.0,0.0,3.859375,3.0,5.0,0.1953125,0.3966347873210907,0.1953125,0.2786901295185089,0.09375,9.213090379489586e-05,0.8937070369720459,0.0,0.0,0.0,0.0,0.0,3.524243116378784,292.0,0.01,17,0.001,4,0.0008810607790946961,0.002618939220905304,0.2517316511699132,0.7482683488300867
0.0036,1.9448120594024658,1.7000000000000002e-06,2074352.0,4.0,3.0,5.0,0.0,4.0,3.0,5.0,0.1474609375,0.3547380566596985,0.1474609375,0.2852505147457123,0.03125,8.348799383384176e-05,1.0005226582288742,0.0,0.0,0.0,0.0,0.0,3.614808738231659,256.0,0.01,18,0.001,4,0.0009037021845579148,0.0026962978154420852,0.2510283845994208,0.7489716154005792
0.0036,1.6045465469360352,1.8000000000000001e-06,2175440.0,3.84375,2.0,5.0,0.0,3.84375,2.0,5.0,0.197265625,0.3981289863586426,0.197265625,0.2674201428890228,0.109375,0.00019840306049445644,0.8191752433776855,0.0,0.0,0.0,0.0,0.0,3.551153242588043,296.0,0.01,19,0.001,4,0.0008877883106470109,0.002712211689352989,0.24660786406861412,0.7533921359313859
0.0035,1.715258002281189,1.9000000000000002e-06,2289088.0,3.96875,3.0,5.0,0.0,3.96875,3.0,5.0,0.1484375,0.3557068705558777,0.1484375,0.25946325063705444,0.078125,0.00011736179112631362,1.0118812024593353,0.0,0.0,0.0,0.0,0.0,3.5463321805000305,264.0,0.01,20,0.001,4,0.0008865830451250076,0.0026134169548749924,0.25330944146428785,0.7466905585357121
0.0036,1.6821706295013428,2.0000000000000003e-06,2404928.0,4.03125,3.0,5.0,0.0,4.03125,3.0,5.0,0.1640625,0.3705132305622101,0.1640625,0.2688766419887543,0.0625,0.00010900219240284059,0.9502445459365845,0.0,0.0,0.0,0.0,0.0,3.5574007630348206,248.0,0.01,21,0.001,4,0.0008893501907587052,0.0027106498092412945,0.2470417196551959,0.752958280344804
0.0034,1.8668179512023926,2.1000000000000002e-06,2517280.0,3.84375,2.0,5.0,0.0,3.84375,2.0,5.0,0.1826171875,0.3865411579608917,0.1826171875,0.2843596935272217,0.078125,0.00013630013199872337,0.868855208158493,0.0,0.0,0.0,0.0,0.0,3.3849176168441772,296.0,0.01,22,0.001,4,0.0008462294042110443,0.0025537705957889554,0.24889100123854246,0.7511089987614575
