variant_key,variant_label,model_dir,checkpoint,step,max_step,observed_max_step,epoch_progress,color,NDCG@10,HR@10,NDCG@50,HR@50,NDCG@5,HR@5
dynamic_sid_only,RL dynamic sid-only,Instruments-grec-grpo-rule-only-dynamic-hint-sid-only-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-798,798,2652,2652,0.6018099547511312,#4c78a8,0.0892,0.1131,0.1046,0.1848,0.0837,0.0961
dynamic_sid_only,RL dynamic sid-only,Instruments-grec-grpo-rule-only-dynamic-hint-sid-only-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-1064,1064,2652,2652,0.8024132730015083,#4c78a8,0.0905,0.1138,0.1054,0.1832,0.0851,0.0968
dynamic_sid_only,RL dynamic sid-only,Instruments-grec-grpo-rule-only-dynamic-hint-sid-only-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-1330,1330,2652,2652,1.0030165912518854,#4c78a8,0.0906,0.1141,0.1059,0.1844,0.0858,0.0992
dynamic_sid_only,RL dynamic sid-only,Instruments-grec-grpo-rule-only-dynamic-hint-sid-only-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-1596,1596,2652,2652,1.2036199095022624,#4c78a8,0.0919,0.1135,0.1069,0.1831,0.087,0.0982
dynamic_sid_only,RL dynamic sid-only,Instruments-grec-grpo-rule-only-dynamic-hint-sid-only-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-1862,1862,2652,2652,1.4042232277526394,#4c78a8,0.0916,0.1145,0.1064,0.1834,0.0862,0.0975
dynamic_sid_only,RL dynamic sid-only,Instruments-grec-grpo-rule-only-dynamic-hint-sid-only-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-2128,2128,2652,2652,1.6048265460030167,#4c78a8,0.092,0.1149,0.1065,0.1829,0.0865,0.0979
dynamic_sid_only,RL dynamic sid-only,Instruments-grec-grpo-rule-only-dynamic-hint-sid-only-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-2394,2394,2652,2652,1.8054298642533937,#4c78a8,0.0921,0.1155,0.1065,0.183,0.0863,0.0977
dynamic_sid_only,RL dynamic sid-only,Instruments-grec-grpo-rule-only-dynamic-hint-sid-only-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-2652,2652,2652,2652,2.0,#4c78a8,0.0919,0.1149,0.1065,0.1832,0.0866,0.0985
rule_only,RL rule_only,Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-333,333,3326,3326,0.20024052916416116,#2a9d8f,0.0902,0.112,0.1035,0.1736,0.0853,0.0967
rule_only,RL rule_only,Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-666,666,3326,3326,0.4004810583283223,#2a9d8f,0.0927,0.1125,0.106,0.1736,0.0878,0.0969
rule_only,RL rule_only,Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-999,999,3326,3326,0.6007215874924835,#2a9d8f,0.0936,0.1152,0.1069,0.1768,0.0887,0.0999
rule_only,RL rule_only,Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-1332,1332,3326,3326,0.8009621166566446,#2a9d8f,0.0945,0.1158,0.1075,0.1754,0.0896,0.1004
