variant_key,variant_label,model_dir,checkpoint,step,max_step,observed_max_step,epoch_progress,color,NDCG@10,HR@10,NDCG@50,HR@50,NDCG@5,HR@5,aligned_epoch,aligned_tail_index,aligned_tail_point_count,aligned_reference_key
dynamic_dual_task,RL dynamic dual-task,Instruments-grec-grpo-rule-only-dynamic-hint-sid-title-desc-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-604,604,2718,2718,0.4444444444444444,#457b9d,0.0877,0.1114,0.1033,0.1836,0.0825,0.0953,1.78125,2,9,dynamic_dual_task
dynamic_dual_task,RL dynamic dual-task,Instruments-grec-grpo-rule-only-dynamic-hint-sid-title-desc-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-906,906,2718,2718,0.6666666666666666,#457b9d,0.09,0.1124,0.1062,0.1875,0.0849,0.0967,1.8125,3,9,dynamic_dual_task
dynamic_dual_task,RL dynamic dual-task,Instruments-grec-grpo-rule-only-dynamic-hint-sid-title-desc-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-1208,1208,2718,2718,0.8888888888888888,#457b9d,0.0907,0.1154,0.1064,0.1881,0.085,0.0977,1.84375,4,9,dynamic_dual_task
dynamic_dual_task,RL dynamic dual-task,Instruments-grec-grpo-rule-only-dynamic-hint-sid-title-desc-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-1510,1510,2718,2718,1.1111111111111112,#457b9d,0.093,0.1153,0.1088,0.1885,0.0877,0.0989,1.875,5,9,dynamic_dual_task
dynamic_dual_task,RL dynamic dual-task,Instruments-grec-grpo-rule-only-dynamic-hint-sid-title-desc-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-1812,1812,2718,2718,1.3333333333333333,#457b9d,0.091,0.1105,0.105,0.1754,0.0863,0.0959,1.90625,6,9,dynamic_dual_task
dynamic_dual_task,RL dynamic dual-task,Instruments-grec-grpo-rule-only-dynamic-hint-sid-title-desc-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-2114,2114,2718,2718,1.5555555555555556,#457b9d,0.0912,0.1124,0.1058,0.1801,0.0859,0.0959,1.9375,7,9,dynamic_dual_task
dynamic_dual_task,RL dynamic dual-task,Instruments-grec-grpo-rule-only-dynamic-hint-sid-title-desc-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-2416,2416,2718,2718,1.7777777777777777,#457b9d,0.0915,0.1117,0.1061,0.1791,0.0866,0.0965,1.96875,8,9,dynamic_dual_task
dynamic_dual_task,RL dynamic dual-task,Instruments-grec-grpo-rule-only-dynamic-hint-sid-title-desc-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-2718,2718,2718,2718,2.0,#457b9d,0.092,0.1132,0.1064,0.1796,0.0864,0.0959,2.0,9,9,dynamic_dual_task
fixed_old,RL fixed old,Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-666,666,3326,3326,0.4004810583283223,#6d597a,0.0902,0.1133,0.1063,0.1888,0.0848,0.0964,1.75,1,9,dynamic_dual_task
fixed_old,RL fixed old,Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-999,999,3326,3326,0.6007215874924835,#6d597a,0.0917,0.1148,0.1081,0.1912,0.0863,0.098,1.78125,2,9,dynamic_dual_task
fixed_old,RL fixed old,Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-1332,1332,3326,3326,0.8009621166566446,#6d597a,0.0939,0.1182,0.1095,0.1904,0.0877,0.0986,1.8125,3,9,dynamic_dual_task
fixed_old,RL fixed old,Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-1665,1665,3326,3326,1.0012026458208059,#6d597a,0.0943,0.1175,0.1108,0.1941,0.0887,0.1003,1.84375,4,9,dynamic_dual_task
fixed_old,RL fixed old,Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-1998,1998,3326,3326,1.201443174984967,#6d597a,0.0947,0.1184,0.1111,0.1943,0.089,0.1007,1.875,5,9,dynamic_dual_task
fixed_old,RL fixed old,Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-2331,2331,3326,3326,1.4016837041491281,#6d597a,0.0947,0.1197,0.1111,0.1957,0.0887,0.1011,1.90625,6,9,dynamic_dual_task
fixed_old,RL fixed old,Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-2664,2664,3326,3326,1.6019242333132893,#6d597a,0.0951,0.1196,0.1114,0.1952,0.0894,0.1019,1.9375,7,9,dynamic_dual_task
fixed_old,RL fixed old,Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-2997,2997,3326,3326,1.8021647624774504,#6d597a,0.0952,0.1193,0.1117,0.1956,0.0897,0.1022,1.96875,8,9,dynamic_dual_task
fixed_old,RL fixed old,Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-3326,3326,3326,3326,2.0,#6d597a,0.0953,0.1193,0.1114,0.1938,0.0896,0.1019,2.0,9,9,dynamic_dual_task
fixed_taskfix,RL fixed taskfix,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sft495,checkpoint-666,666,3326,3326,0.4004810583283223,#f4a261,0.0901,0.113,0.1078,0.1962,0.0848,0.0965,1.75,1,9,dynamic_dual_task
fixed_taskfix,RL fixed taskfix,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sft495,checkpoint-999,999,3326,3326,0.6007215874924835,#f4a261,0.0881,0.1137,0.1055,0.1946,0.0823,0.0955,1.78125,2,9,dynamic_dual_task
fixed_taskfix,RL fixed taskfix,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sft495,checkpoint-1332,1332,3326,3326,0.8009621166566446,#f4a261,0.0906,0.1157,0.1068,0.191,0.0845,0.0967,1.8125,3,9,dynamic_dual_task
fixed_taskfix,RL fixed taskfix,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sft495,checkpoint-1665,1665,3326,3326,1.0012026458208059,#f4a261,0.0916,0.1166,0.1085,0.1944,0.086,0.0991,1.84375,4,9,dynamic_dual_task
fixed_taskfix,RL fixed taskfix,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sft495,checkpoint-1998,1998,3326,3326,1.201443174984967,#f4a261,0.0913,0.1169,0.1073,0.1909,0.0858,0.0996,1.875,5,9,dynamic_dual_task
