loss,grad_norm,learning_rate,num_tokens,completions/mean_length,completions/min_length,completions/max_length,completions/clipped_ratio,completions/mean_terminated_length,completions/min_terminated_length,completions/max_terminated_length,rewards/rule_reward/mean,rewards/rule_reward/std,reward,reward_std,frac_reward_zero_std,kl,entropy,clip_ratio/low_mean,clip_ratio/low_min,clip_ratio/high_mean,clip_ratio/high_max,clip_ratio/region_mean,loss/rl_base,hint_ce/loss,hint_ce/token_count,loss/hint_ce_weighted,epoch,global_step,hint_ce_loss_coef,grad_acc,weighted_hint_ce_loss,estimated_rl_base_loss,hint_ce_fraction,rl_base_fraction
0.0038,1.941717413466401,0.0,110240.0,3.984375,3.0,5.0,0.0,3.984375,3.0,5.0,0.1572265625,0.36419209837913513,0.1572265625,0.29231056571006775,0.03125,0.0,0.8738560378551483,0.0,0.0,0.0,0.0,0.0,4.656612873077393e-10,3.8313363790512085,260.0,0.0012883414165116847,0.0,1,0.001,4,0.0009578340947628022,0.002842165905237198,0.2520616038849479,0.7479383961150521
0.0034,2.033917765969688,1.0000000000000001e-07,231392.0,3.953125,2.0,5.0,0.0,3.953125,2.0,5.0,0.20703125,0.4053761065006256,0.20703125,0.27588146924972534,0.09375,0.0,0.9995609372854233,0.0,0.0,0.0,0.0,0.0,0.0,3.3774126172065735,268.0,0.0009497581195319071,0.0,2,0.001,4,0.0008443531543016433,0.0025556468456983564,0.24833916302989512,0.7516608369701049
0.0035,1.9157751626381694,2.0000000000000002e-07,344816.0,3.921875,3.0,5.0,0.0,3.921875,3.0,5.0,0.21484375,0.4109145998954773,0.21484375,0.2750817835330963,0.09375,2.5971851755457465e-05,0.9132900089025497,0.0,0.0,0.0,0.0,0.0,9.42964106798172e-09,3.5261815190315247,276.0,0.0007194293866632506,0.0,3,0.001,4,0.0008815453797578811,0.002618454620242119,0.2518701085022517,0.7481298914977483
0.0036,1.8909335722610436,3.0000000000000004e-07,456560.0,3.921875,3.0,5.0,0.0,3.921875,3.0,5.0,0.1806640625,0.3849276006221771,0.1806640625,0.26783227920532227,0.078125,0.00012517362847574987,0.8328040987253189,0.0,0.0,0.0,0.0,0.0,9.289942681789398e-08,3.6473094820976257,276.0,0.0005312500288709998,0.0,4,0.001,4,0.0009118273705244064,0.0026881726294755936,0.253285380701224,0.746714619298776
0.0037,2.1699782289117757,4.0000000000000003e-07,560912.0,3.984375,3.0,5.0,0.0,3.984375,3.0,5.0,0.15625,0.3632695972919464,0.15625,0.2693820893764496,0.0625,3.442689853727643e-05,0.9527107924222946,0.0,0.0,0.0,0.0,0.0,2.2351741790771484e-08,3.7128224968910217,260.0,0.0009711538878036663,0.0,5,0.001,4,0.0009282056242227555,0.0027717943757772446,0.250866384925069,0.7491336150749309
0.0036,1.7965101426503944,5.000000000000001e-07,664384.0,3.78125,2.0,5.0,0.0,3.78125,2.0,5.0,0.1982421875,0.39887040853500366,0.1982421875,0.2841757833957672,0.078125,6.383264008036349e-05,0.8602670133113861,0.0,0.0,0.0,0.0,0.0,6.51925802230835e-09,3.5613775849342346,312.0,0.0007068810518831015,0.0,6,0.001,4,0.0008903443962335587,0.0027096556037664414,0.2473178878426552,0.7526821121573448
0.0034,1.7080749146815517,6.000000000000001e-07,782384.0,4.03125,2.0,5.0,0.0,4.03125,2.0,5.0,0.177734375,0.3824757933616638,0.177734375,0.24890261888504028,0.125,7.085703782649944e-05,1.0242981612682343,0.0,0.0,0.0,0.0,0.0,3.015156835317612e-08,3.4371732473373413,248.0,0.0009204259695252404,0.0,7,0.001,4,0.0008592933118343354,0.0025407066881656644,0.25273332701009865,0.7472666729899013
0.0035,1.7346309427462188,7.000000000000001e-07,899728.0,3.921875,3.0,5.0,0.0,3.921875,3.0,5.0,0.125,0.3308805227279663,0.125,0.2681978940963745,0.0625,0.00012470931687857956,0.9927288591861725,0.0,0.0,0.0,0.0,0.0,3.6961864680051804e-08,3.5133750438690186,276.0,0.0011739131005015224,0.0,8,0.001,4,0.0008783437609672547,0.0026216562390327454,0.25095536027635845,0.7490446397236415
0.0037,1.5778714110628531,8.000000000000001e-07,1000848.0,4.171875,3.0,5.0,0.0,4.171875,3.0,5.0,0.134765625,0.341639906167984,0.134765625,0.2737445831298828,0.046875,0.00010385046698502265,0.9633426368236542,0.0,0.0,0.0,0.0,0.0,2.5262124836444855e-08,3.6874438524246216,212.0,0.0011036262731067836,0.01,9,0.001,4,0.0009218609631061554,0.0027781390368938445,0.24915161165031227,0.7508483883496877
0.0036,1.4724603865111392,9.000000000000001e-07,1115264.0,4.125,3.0,5.0,0.0,4.125,3.0,5.0,0.16015625,0.36693012714385986,0.16015625,0.2660311460494995,0.0625,6.199458130140556e-05,1.055955946445465,0.0,0.0,0.0,0.0,0.0,1.3329554349184036e-08,3.5821975469589233,224.0,0.0005644531483994797,0.01,10,0.001,4,0.0008955493867397309,0.002704450613260269,0.24876371853881415,0.7512362814611859
0.0032,1.6453001379805223,1.0000000000000002e-06,1249296.0,3.796875,3.0,5.0,0.0,3.796875,3.0,5.0,0.1591796875,0.3660223186016083,0.1591796875,0.27127933502197266,0.0625,9.362982564198319e-05,1.0397770404815674,0.0,0.0,0.0,0.0,0.0,2.1187588572502136e-08,3.219092309474945,308.0,0.0005700208203052171,0.01,11,0.001,4,0.0008047730773687363,0.002395226922631264,0.2514915866777301,0.7485084133222699
