HR@1,HR@10,HR@20,HR@3,HR@5,HR@50,NDCG@1,NDCG@10,NDCG@20,NDCG@3,NDCG@5,NDCG@50,checkpoint,checkpoint_step,experiment,status
0.0761,0.1193,0.1457,0.093,0.1022,0.1956,0.0761,0.0952,0.1018,0.0859,0.0897,0.1117,checkpoint-2997,2997,Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0765,0.1193,0.1455,0.0926,0.1019,0.1938,0.0765,0.0953,0.1018,0.0858,0.0896,0.1114,checkpoint-3326,3326,Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0633,0.1101,0.134,0.0838,0.0922,0.1816,0.0633,0.0845,0.0905,0.0753,0.0787,0.0999,checkpoint-333,333,Instruments-grec-grpo-rule-only-fixed-hint-task-index-fix-beam16-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0703,0.1131,0.1351,0.0878,0.0971,0.1864,0.0703,0.0894,0.095,0.0805,0.0843,0.1051,checkpoint-666,666,Instruments-grec-grpo-rule-only-fixed-hint-task-index-fix-beam16-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0655,0.111,0.1375,0.083,0.0926,0.1855,0.0655,0.0856,0.0923,0.0758,0.0797,0.1018,checkpoint-333,333,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sft495,
0.0719,0.113,0.1387,0.0878,0.0965,0.1962,0.0719,0.0901,0.0966,0.0812,0.0848,0.1078,checkpoint-666,666,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sft495,
0.0673,0.1137,0.1404,0.0871,0.0955,0.1946,0.0673,0.0881,0.0948,0.0788,0.0823,0.1055,checkpoint-999,999,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sft495,
0.0714,0.1157,0.1403,0.0879,0.0967,0.191,0.0714,0.0906,0.0968,0.0809,0.0845,0.1068,checkpoint-1332,1332,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sft495,
0.0715,0.1166,0.1431,0.0899,0.0991,0.1944,0.0715,0.0916,0.0983,0.0823,0.086,0.1085,checkpoint-1665,1665,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sft495,
0.0702,0.1169,0.1427,0.0899,0.0996,0.1909,0.0702,0.0913,0.0978,0.0818,0.0858,0.1073,checkpoint-1998,1998,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sft495,
0.0729,0.1182,0.1443,0.0912,0.1011,0.1935,0.0729,0.093,0.0995,0.0834,0.0875,0.1093,checkpoint-2331,2331,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sft495,
0.0726,0.118,0.1442,0.0917,0.1014,0.1947,0.0726,0.093,0.0995,0.0837,0.0876,0.1096,checkpoint-2664,2664,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sft495,
0.0722,0.1189,0.1447,0.0914,0.1014,0.1941,0.0722,0.0931,0.0995,0.0834,0.0875,0.1094,checkpoint-2997,2997,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sft495,
0.0722,0.1186,0.1449,0.0908,0.1009,0.1938,0.0722,0.0929,0.0995,0.083,0.0872,0.1092,checkpoint-3326,3326,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sft495,
0.0645,0.0907,0.1065,0.0746,0.0803,0.1494,0.0645,0.0761,0.0801,0.0704,0.0728,0.0885,checkpoint-333,333,Instruments-grec-grpo-rule-only-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0441,0.0579,0.0597,0.051,0.056,0.0659,0.0441,0.0509,0.0514,0.0482,0.0503,0.0526,checkpoint-666,666,Instruments-grec-grpo-rule-only-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0511,0.0601,0.0653,0.0559,0.0571,0.0799,0.0511,0.0555,0.0567,0.054,0.0545,0.0596,checkpoint-999,999,Instruments-grec-grpo-rule-only-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0728,0.112,0.1337,0.088,0.0967,0.1736,0.0728,0.0902,0.0957,0.0817,0.0853,0.1035,checkpoint-333,333,Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0782,0.1125,0.1333,0.0898,0.0969,0.1736,0.0782,0.0927,0.098,0.0848,0.0878,0.106,checkpoint-666,666,Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0766,0.1152,0.1364,0.0909,0.0999,0.1768,0.0766,0.0936,0.0989,0.085,0.0887,0.1069,checkpoint-999,999,Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0778,0.1158,0.1372,0.0923,0.1004,0.1754,0.0778,0.0945,0.0999,0.0863,0.0896,0.1075,checkpoint-1332,1332,Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0776,0.1165,0.1381,0.0929,0.1017,0.1743,0.0776,0.095,0.1004,0.0865,0.0902,0.1076,checkpoint-1665,1665,Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0787,0.1154,0.1345,0.0923,0.1009,0.1663,0.0787,0.0949,0.0997,0.0866,0.0902,0.106,checkpoint-1998,1998,Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0788,0.1161,0.1355,0.0927,0.1024,0.1659,0.0788,0.0953,0.1002,0.0869,0.0909,0.1063,checkpoint-2331,2331,Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0784,0.1182,0.1374,0.0932,0.103,0.1684,0.0784,0.0959,0.1007,0.087,0.091,0.1069,checkpoint-2664,2664,Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0788,0.1179,0.1373,0.0929,0.1027,0.1681,0.0788,0.096,0.1009,0.0871,0.0911,0.107,checkpoint-2997,2997,Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0788,0.1176,0.137,0.093,0.103,0.1679,0.0788,0.0959,0.1008,0.0871,0.0912,0.1069,checkpoint-3326,3326,Instruments-grec-grpo-rule-only-rerun-quietlog-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0588,0.1094,0.1344,0.0822,0.0932,0.1844,0.0588,0.0823,0.0886,0.0726,0.0771,0.0985,checkpoint-495,,SFT-baseline-checkpoint-495,
