task,n,depth_0,depth_1,depth_2,depth_3,depth_4,base_hit_rate,need_hint_rate,need_hint2plus_rate,need_hint3plus_rate,unsolved_rate,continue_hint1_to_2plus,continue_hint2_to_3plus,continue_hint3_to_unsolved
hisTitle2sid,10000,869,3007,6046,77,1,0.0869,0.9131,0.6124,0.0078,0.0001,0.6706822910962654,0.012736773350751143,0.01282051282051282
sid,84890,23983,33144,27469,288,6,0.2825185534220756,0.7174814465779245,0.3270467664035811,0.0034633054541170927,7.067970314524679e-05,0.4558260955226821,0.010589633685120484,0.02040816326530612
title_desc2sid,11551,8295,605,2561,86,4,0.7181196433209246,0.2818803566790754,0.22950393905289584,0.007791533200588694,0.0003462903644706086,0.8141891891891891,0.033949453036589965,0.044444444444444446
