variant_key,variant_label,model_dir,checkpoint,step,max_step,observed_max_step,epoch_progress,NDCG@10,HR@10,NDCG@50,HR@50,NDCG@5,HR@5
fixed_old,RL fixed old,Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-1998,1998,3326,3326,1.201443174984967,0.0947,0.1184,0.1111,0.1943,0.089,0.1007
fixed_old,RL fixed old,Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-2331,2331,3326,3326,1.4016837041491281,0.0947,0.1197,0.1111,0.1957,0.0887,0.1011
fixed_old,RL fixed old,Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-2664,2664,3326,3326,1.6019242333132893,0.0951,0.1196,0.1114,0.1952,0.0894,0.1019
fixed_old,RL fixed old,Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-2997,2997,3326,3326,1.8021647624774504,0.0952,0.1193,0.1117,0.1956,0.0897,0.1022
fixed_old,RL fixed old,Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-3326,3326,3326,3326,2.0,0.0953,0.1193,0.1114,0.1938,0.0896,0.1019
hintce_coef_005,RL fixed CE coef=0.005,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-hintce-3-sft495,checkpoint-333,333,3326,3326,0.20024052916416116,0.0858,0.1109,0.1022,0.187,0.08,0.0927
hintce_coef_005,RL fixed CE coef=0.005,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-hintce-3-sft495,checkpoint-666,666,3326,3326,0.4004810583283223,0.0898,0.111,0.107,0.1924,0.0849,0.0958
hintce_coef_005,RL fixed CE coef=0.005,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-hintce-3-sft495,checkpoint-999,999,3326,3326,0.6007215874924835,0.0928,0.1147,0.1105,0.1979,0.0873,0.0975
hintce_coef_005,RL fixed CE coef=0.005,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-hintce-3-sft495,checkpoint-1332,1332,3326,3326,0.8009621166566446,0.0922,0.1154,0.1093,0.1951,0.0869,0.0991
hintce_coef_005,RL fixed CE coef=0.005,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-hintce-3-sft495,checkpoint-1665,1665,3326,3326,1.0012026458208059,0.0945,0.118,0.1118,0.1985,0.089,0.1009
hintce_coef_005,RL fixed CE coef=0.005,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-hintce-3-sft495,checkpoint-1998,1998,3326,3326,1.201443174984967,0.0938,0.1171,0.1105,0.1945,0.0885,0.1006
hintce_coef_005,RL fixed CE coef=0.005,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-hintce-3-sft495,checkpoint-2331,2331,3326,3326,1.4016837041491281,0.0942,0.1185,0.1104,0.1942,0.0887,0.1013
hintce_coef_005,RL fixed CE coef=0.005,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-hintce-3-sft495,checkpoint-2664,2664,3326,3326,1.6019242333132893,0.0943,0.1185,0.1107,0.195,0.0884,0.1003
hintce_coef_005,RL fixed CE coef=0.005,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-hintce-3-sft495,checkpoint-2997,2997,3326,3326,1.8021647624774504,0.0943,0.1186,0.111,0.1961,0.0885,0.1007
hintce_coef_005,RL fixed CE coef=0.005,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-hintce-3-sft495,checkpoint-3326,3326,3326,3326,2.0,0.0943,0.1188,0.1109,0.196,0.0884,0.1005
hintce_coef_01,RL fixed CE coef=0.01,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-hintce-4-sft495,checkpoint-333,333,3326,3326,0.20024052916416116,0.0821,0.1055,0.098,0.18,0.077,0.09
hintce_coef_01,RL fixed CE coef=0.01,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-hintce-4-sft495,checkpoint-666,666,3326,3326,0.4004810583283223,0.0891,0.1126,0.1052,0.1873,0.084,0.0967
hintce_coef_01,RL fixed CE coef=0.01,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-hintce-4-sft495,checkpoint-999,999,3326,3326,0.6007215874924835,0.0916,0.1151,0.1074,0.1883,0.0864,0.0988
hintce_coef_01,RL fixed CE coef=0.01,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-hintce-4-sft495,checkpoint-1332,1332,3326,3326,0.8009621166566446,0.0916,0.1166,0.1073,0.1907,0.0854,0.0974
hintce_coef_01,RL fixed CE coef=0.01,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-hintce-4-sft495,checkpoint-1665,1665,3326,3326,1.0012026458208059,0.0937,0.1185,0.1096,0.1923,0.088,0.1008
hintce_coef_01,RL fixed CE coef=0.01,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-hintce-4-sft495,checkpoint-1998,1998,3326,3326,1.201443174984967,0.0939,0.1193,0.1098,0.1927,0.0881,0.101
hintce_coef_01,RL fixed CE coef=0.01,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-hintce-4-sft495,checkpoint-2331,2331,3326,3326,1.4016837041491281,0.0942,0.1189,0.1103,0.193,0.0885,0.1012
hintce_coef_01,RL fixed CE coef=0.01,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-hintce-4-sft495,checkpoint-2664,2664,3326,3326,1.6019242333132893,0.0953,0.1199,0.1115,0.1947,0.0896,0.1022
hintce_coef_01,RL fixed CE coef=0.01,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-hintce-4-sft495,checkpoint-2997,2997,3326,3326,1.8021647624774504,0.0953,0.1204,0.1113,0.1943,0.0893,0.1016
hintce_coef_01,RL fixed CE coef=0.01,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-hintce-4-sft495,checkpoint-3326,3326,3326,3326,2.0,0.095,0.1202,0.111,0.194,0.0889,0.1012
single_hint_mixed,RL fixed single-hint mixed,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-hint-only-mixed-sft495,checkpoint-333,333,3326,3326,0.20024052916416116,0.0861,0.1112,0.1012,0.1813,0.0806,0.0939
single_hint_mixed,RL fixed single-hint mixed,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-hint-only-mixed-sft495,checkpoint-666,666,3326,3326,0.4004810583283223,0.0903,0.1153,0.107,0.1927,0.0843,0.0967
single_hint_mixed,RL fixed single-hint mixed,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-hint-only-mixed-sft495,checkpoint-999,999,3326,3326,0.6007215874924835,0.0924,0.1166,0.1087,0.1928,0.0866,0.0985
single_hint_mixed,RL fixed single-hint mixed,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-hint-only-mixed-sft495,checkpoint-1332,1332,3326,3326,0.8009621166566446,0.092,0.1148,0.1083,0.1908,0.0866,0.0982
single_hint_mixed,RL fixed single-hint mixed,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-hint-only-mixed-sft495,checkpoint-1665,1665,3326,3326,1.0012026458208059,0.0947,0.119,0.1108,0.1935,0.089,0.101
single_hint_mixed,RL fixed single-hint mixed,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-hint-only-mixed-sft495,checkpoint-1998,1998,3326,3326,1.201443174984967,0.0942,0.1171,0.1103,0.1919,0.0889,0.1007
single_hint_mixed,RL fixed single-hint mixed,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-hint-only-mixed-sft495,checkpoint-2331,2331,3326,3326,1.4016837041491281,0.0946,0.1182,0.1111,0.1948,0.089,0.1007
single_hint_mixed,RL fixed single-hint mixed,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-hint-only-mixed-sft495,checkpoint-2664,2664,3326,3326,1.6019242333132893,0.0948,0.118,0.1116,0.1958,0.0892,0.1006
single_hint_mixed,RL fixed single-hint mixed,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-hint-only-mixed-sft495,checkpoint-2997,2997,3326,3326,1.8021647624774504,0.0947,0.1185,0.1112,0.1952,0.0892,0.1013
single_hint_mixed,RL fixed single-hint mixed,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sid-hint-only-mixed-sft495,checkpoint-3326,3326,3326,3326,2.0,0.0945,0.1179,0.1111,0.1951,0.0891,0.1011
