variant,variant_label,step,epoch,NDCG@10,HR@10,NDCG@50,HR@50,HR@1,HR@5,NDCG@5
arts_sft,Arts SFT,4317,1.0,0.0579,0.0774,0.0701,0.1338,0.0428,0.0635,0.0534
arts_sft,Arts SFT,8634,2.0,0.0734,0.0996,0.089,0.1709,0.0533,0.0811,0.0675
arts_sft,Arts SFT,12951,3.0,0.0754,0.1051,0.0928,0.185,0.0528,0.0827,0.0682
arts_sft,Arts SFT,17268,4.0,0.0644,0.0882,0.0787,0.154,0.0461,0.0713,0.059
